Default List,Default Card,Redesigned List,Redesigned Card,Carousel
11029.0,9789.0,3916.0,4979.0,3233.0
11393.0,11310.0,1628.0,7878.0,1462.0
11421.0,7394.0,1312.0,5919.0,778.0
11509.0,5062.0,1931.0,3608.0,3003.0
13978.0,3796.0,1795.0,4194.0,1496.0
7435.0,6924.0,1059.0,3311.0,1103.0
9409.0,6689.0,2860.0,7634.0,2046.0
5706.0,4948.0,1497.0,4057.0,2623.0
10472.0,4694.0,1483.0,3686.0,2764.0
5692.0,4700.0,4153.0,5822.0,2511.0
8917.0,9216.0,2390.0,4464.0,1680.0
4553.0,2679.0,878.0,1813.0,1207.0
5767.0,4791.0,3207.0,3487.0,1200.0
13263.0,6449.0,2320.0,3471.0,1541.0
9115.0,8105.0,2270.0,7984.0,1723.0
5716.0,4206.0,1629.0,1141.0,1915.0
14302.0,5004.0,4142.0,3486.0,3340.0
10493.0,9405.0,998.0,2369.0,1455.0
